Symbol,GICS Sector
NOW,Information Technology
SWKS,Information Technology
CDW,Information Technology
JBL,Information Technology
MSFT,Information Technology
TDY,Information Technology
IT,Information Technology
JNPR,Information Technology
AVGO,Information Technology
TER,Information Technology
ZBRA,Information Technology
INTU,Information Technology
APH,Information Technology
INTC,Information Technology
TRMB,Information Technology
TEL,Information Technology
QRVO,Information Technology
STX,Information Technology
PLTR,Information Technology
QCOM,Information Technology
CRWD,Information Technology
PTC,Information Technology
CRM,Information Technology
CTSH,Information Technology
MCHP,Information Technology
CDNS,Information Technology
MPWR,Information Technology
ROP,Information Technology
KLAC,Information Technology
SMCI,Information Technology
SNPS,Information Technology
KEYS,Information Technology
DELL,Information Technology
LRCX,Information Technology
IBM,Information Technology
MSI,Information Technology
ANET,Information Technology
AAPL,Information Technology
NTAP,Information Technology
FICO,Information Technology
MU,Information Technology
NVDA,Information Technology
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
FSLR,Information Technology
FTNT,Information Technology
ADSK,Information Technology
WDC,Information Technology
GDDY,Information Technology
ANSS,Information Technology
EPAM,Information Technology
GEN,Information Technology
ENPH,Information Technology
HPQ,Information Technology
TXN,Information Technology
TYL,Information Technology
HPE,Information Technology
FFIV,Information Technology
AMD,Information Technology
PANW,Information Technology
NXPI,Information Technology
AMAT,Information Technology
ORCL,Information Technology
ON,Information Technology
VRSN,Information Technology
GLW,Information Technology
AKAM,Information Technology
CSCO,Information Technology
MS,Financials
COF,Financials
MTB,Financials
MSCI,Financials
CPAY,Financials
CFG,Financials
MKTX,Financials
FI,Financials
FIS,Financials
FITB,Financials
ERIE,Financials
GL,Financials
GPN,Financials
GS,Financials
HBAN,Financials
EG,Financials
HIG,Financials
ICE,Financials
IVZ,Financials
NDAQ,Financials
JPM,Financials
KEY,Financials
DFS,Financials
KKR,Financials
L,Financials
MA,Financials
MCO,Financials
MET,Financials
MMC,Financials
JKHY,Financials
FDS,Financials
NTRS,Financials
BEN,Financials
SPGI,Financials
STT,Financials
BAC,Financials
CME,Financials
AXP,Financials
TFC,Financials
TROW,Financials
AON,Financials
TRV,Financials
BK,Financials
AMP,Financials
V,Financials
ALL,Financials
AJG,Financials
AIZ,Financials
AIG,Financials
AFL,Financials
WFC,Financials
WRB,Financials
ACGL,Financials
WTW,Financials
USB,Financials
SCHW,Financials
SYF,Financials
PGR,Financials
CBOE,Financials
RF,Financials
C,Financials
PYPL,Financials
BRO,Financials
BX,Financials
PFG,Financials
CINF,Financials
RJF,Financials
BLK,Financials
PRU,Financials
CB,Financials
BRK-B,Financials
PNC,Financials
MRK,Health Care
MRNA,Health Care
VRTX,Health Care
LLY,Health Care
GILD,Health Care
HCA,Health Care
GEHC,Health Care
VTRS,Health Care
WAT,Health Care
PFE,Health Care
WST,Health Care
MTD,Health Care
ZBH,Health Care
PODD,Health Care
UNH,Health Care
HSIC,Health Care
HOLX,Health Care
LH,Health Care
RVTY,Health Care
RMD,Health Care
SOLV,Health Care
MCK,Health Care
STE,Health Care
MDT,Health Care
JNJ,Health Care
UHS,Health Care
REGN,Health Care
TECH,Health Care
IQV,Health Care
TFX,Health Care
TMO,Health Care
INCY,Health Care
IDXX,Health Care
HUM,Health Care
MOH,Health Care
SYK,Health Care
A,Health Care
ISRG,Health Care
ZTS,Health Care
CVS,Health Care
BSX,Health Care
BIIB,Health Care
BDX,Health Care
ELV,Health Care
BAX,Health Care
CAH,Health Care
CRL,Health Care
DHR,Health Care
BMY,Health Care
COR,Health Care
COO,Health Care
EW,Health Care
AMGN,Health Care
CI,Health Care
ALGN,Health Care
ABT,Health Care
DVA,Health Care
DGX,Health Care
CNC,Health Care
ABBV,Health Care
DXCM,Health Care
CTLT,Health Care
MHK,Consumer Discretionary
MGM,Consumer Discretionary
LVS,Consumer Discretionary
MAR,Consumer Discretionary
LULU,Consumer Discretionary
CZR,Consumer Discretionary
LOW,Consumer Discretionary
LKQ,Consumer Discretionary
LEN,Consumer Discretionary
KMX,Consumer Discretionary
